winner,strikes_att_diff,strikes_succ_diff,sig_strikes_att_diff,sig_strikes_succ_diff,takedown_att_diff,takedown_succ_diff,submission_att_diff,ctrl_time_diff,fighter_l_name_f1,fighter_l_name_f2,num_rounds,title_fight,weight_class,height_diff,reach_diff,rank_diff,event_name,event_city,event_country
1,8.0,-2.0,8.0,-2.0,6.0,1.0,0.0,88.0,Fiziev,Gamrot,3,0,6,-5.0800000000000125,2.539999999999992,0.0,UFC Fight Night: Fiziev vs. Gamrot,Las Vegas,USA
0,17.0,20.0,0.0,7.0,9.0,4.0,1.0,365.0,Mitchell,Ige,2,0,2,7.6200000000000045,-2.539999999999992,0.0,UFC Fight Night: Fiziev vs. Gamrot,Las Vegas,USA
0,13.0,-5.0,15.0,-5.0,-15.0,-5.0,-1.0,-322.0,Rodriguez,Waterson-Gomez,2,0,13,7.619999999999976,7.6200000000000045,0.0,UFC Fight Night: Fiziev vs. Gamrot,Las Vegas,USA
0,58.0,58.0,47.0,52.0,1.0,1.0,0.0,-8.0,Battle,Fletcher,2,0,9,7.619999999999976,25.400000000000006,0.0,UFC Fight Night: Fiziev vs. Gamrot,Las Vegas,USA
0,-93.0,-74.0,-70.0,-57.0,5.0,0.0,0.0,46.0,Ramos,Jourdain,2,0,2,0.0,7.6200000000000045,0.0,UFC Fight Night: Fiziev vs. Gamrot,Las Vegas,USA
0,68.0,47.0,48.0,32.0,-4.0,0.0,1.0,41.0,Argueta,Johns,2,0,0,0.0,5.0800000000000125,0.0,UFC Fight Night: Fiziev vs. Gamrot,Las Vegas,USA
0,-48.0,-34.0,-29.0,-20.0,0.0,-1.0,-1.0,-177.0,Means,Fialho,2,0,9,5.0800000000000125,2.539999999999992,0.0,UFC Fight Night: Fiziev vs. Gamrot,Las Vegas,USA
1,-47.0,-29.0,-42.0,-25.0,1.0,2.0,1.0,85.0,Malkoun,Brundage,2,0,7,-7.6200000000000045,2.539999999999992,0.0,UFC Fight Night: Fiziev vs. Gamrot,Las Vegas,USA
1,0.0,8.0,0.0,8.0,-3.0,-2.0,0.0,-118.0,Usman,Collier,2,0,4,-2.539999999999992,2.539999999999992,0.0,UFC Fight Night: Fiziev vs. Gamrot,Las Vegas,USA
1,85.0,30.0,76.0,25.0,6.0,2.0,1.0,235.0,Vidal,Rendon,2,0,10,-5.0800000000000125,0.0,0.0,UFC Fight Night: Fiziev vs. Gamrot,Las Vegas,USA
1,9.0,14.0,7.0,10.0,0.0,0.0,-2.0,44.0,Holland,Della Maddalena,2,0,9,10.159999999999997,20.32000000000002,0.0,UFC Fight Night: Grasso vs. Shevchenko 2,Las Vegas,USA
0,74.0,82.0,51.0,61.0,-4.0,-2.0,0.0,-108.0,Rosas Jr.,Mitchell,2,0,0,-2.5400000000000205,-17.78,0.0,UFC Fight Night: Grasso vs. Shevchenko 2,Las Vegas,USA
0,-68.0,-78.0,-40.0,-53.0,-1.0,1.0,0.0,-123.0,Zellhuber,Giagos,2,0,6,7.619999999999976,15.240000000000009,0.0,UFC Fight Night: Grasso vs. Shevchenko 2,Las Vegas,USA
1,-50.0,-12.0,-64.0,-23.0,2.0,0.0,0.0,171.0,Padilla,Nelson,2,0,2,5.079999999999984,12.699999999999989,0.0,UFC Fight Night: Grasso vs. Shevchenko 2,Las Vegas,USA
1,-55.0,-41.0,-35.0,-26.0,-2.0,0.0,0.0,-193.0,Godinez,Reed,2,0,13,-2.539999999999992,-5.0800000000000125,0.0,UFC Fight Night: Grasso vs. Shevchenko 2,Las Vegas,USA
0,229.0,115.0,187.0,83.0,2.0,0.0,0.0,161.0,Kopylov,Fremd,2,0,7,-10.159999999999997,-2.539999999999992,0.0,UFC Fight Night: Grasso vs. Shevchenko 2,Las Vegas,USA
0,-36.0,-18.0,-8.0,2.0,-3.0,-1.0,2.0,-134.0,Cortez,Jasudavicius,2,0,12,-5.0800000000000125,-7.6200000000000045,0.0,UFC Fight Night: Grasso vs. Shevchenko 2,Las Vegas,USA
1,-58.0,-17.0,-78.0,-32.0,2.0,1.0,-2.0,158.0,Reyes,Campbell,2,0,6,-2.539999999999992,2.539999999999992,0.0,UFC Fight Night: Grasso vs. Shevchenko 2,Las Vegas,USA
