fighter_l_name_f1,fighter_l_name_f2,winner,num_rounds,title_fight,weight_class,height_diff,reach_diff,rank_diff,event_name,event_city,event_country
Fiziev,Gamrot,2884.0,5,F,Lightweight,-5.0800000000000125,2.539999999999992,0.0,UFC Fight Night: Fiziev vs. Gamrot,Las Vegas,USA
Mitchell,Ige,1662.0,3,F,Featherweight,7.6200000000000045,-2.539999999999992,0.0,UFC Fight Night: Fiziev vs. Gamrot,Las Vegas,USA
Rodriguez,Waterson-Gomez,981.0,3,F,Women's Strawweight,7.619999999999976,7.6200000000000045,0.0,UFC Fight Night: Fiziev vs. Gamrot,Las Vegas,USA
Battle,Fletcher,3831.0,3,F,Welterweight,7.619999999999976,25.400000000000006,0.0,UFC Fight Night: Fiziev vs. Gamrot,Las Vegas,USA
Ramos,Jourdain,2320.0,3,F,Featherweight,0.0,7.6200000000000045,0.0,UFC Fight Night: Fiziev vs. Gamrot,Las Vegas,USA
Argueta,Johns,2373.0,3,F,Bantamweight,0.0,5.0800000000000125,0.0,UFC Fight Night: Fiziev vs. Gamrot,Las Vegas,USA
Means,Fialho,1752.0,3,F,Welterweight,5.0800000000000125,2.539999999999992,0.0,UFC Fight Night: Fiziev vs. Gamrot,Las Vegas,USA
Malkoun,Brundage,3646.0,3,F,Middleweight,-7.6200000000000045,2.539999999999992,0.0,UFC Fight Night: Fiziev vs. Gamrot,Las Vegas,USA
Usman,Collier,309.0,3,F,Heavyweight,-2.539999999999992,2.539999999999992,0.0,UFC Fight Night: Fiziev vs. Gamrot,Las Vegas,USA
Vidal,Rendon,1071.0,3,F,Women's Bantamweight,-5.0800000000000125,0.0,0.0,UFC Fight Night: Fiziev vs. Gamrot,Las Vegas,USA
Holland,Della Maddalena,3250.0,3,F,Welterweight,10.159999999999997,20.32000000000002,0.0,UFC Fight Night: Grasso vs. Shevchenko 2,Las Vegas,USA
Rosas Jr.,Mitchell,946.0,3,F,Bantamweight,-2.5400000000000205,-17.78,0.0,UFC Fight Night: Grasso vs. Shevchenko 2,Las Vegas,USA
Zellhuber,Giagos,23.0,3,F,Lightweight,7.619999999999976,15.240000000000009,0.0,UFC Fight Night: Grasso vs. Shevchenko 2,Las Vegas,USA
Padilla,Nelson,1495.0,3,F,Featherweight,5.079999999999984,12.699999999999989,0.0,UFC Fight Night: Grasso vs. Shevchenko 2,Las Vegas,USA
Godinez,Reed,2814.0,3,F,Women's Strawweight,-2.539999999999992,-5.0800000000000125,0.0,UFC Fight Night: Grasso vs. Shevchenko 2,Las Vegas,USA
Kopylov,Fremd,2181.0,3,F,Middleweight,-10.159999999999997,-2.539999999999992,0.0,UFC Fight Night: Grasso vs. Shevchenko 2,Las Vegas,USA
Cortez,Jasudavicius,3389.0,3,F,Women's Flyweight,-5.0800000000000125,-7.6200000000000045,0.0,UFC Fight Night: Grasso vs. Shevchenko 2,Las Vegas,USA
Reyes,Campbell,3574.0,3,F,Lightweight,-2.539999999999992,2.539999999999992,0.0,UFC Fight Night: Grasso vs. Shevchenko 2,Las Vegas,USA
Knutsson,Mann,2196.0,3,F,Women's Strawweight,7.6200000000000045,-10.159999999999997,0.0,UFC Fight Night: Grasso vs. Shevchenko 2,Las Vegas,USA
Adesanya,Strickland,512.0,5,T,Middleweight,7.6200000000000045,10.159999999999997,0.0,UFC 293: Adesanya vs. Strickland,Sydney,Australia
Tuivasa,Volkov,225.0,3,F,Heavyweight,-12.699999999999989,-12.699999999999989,0.0,UFC 293: Adesanya vs. Strickland,Sydney,Australia
Kape,dos Santos,2285.0,3,F,Flyweight,-5.0800000000000125,-5.0800000000000125,0.0,UFC 293: Adesanya vs. Strickland,Sydney,Australia
Tafa,Lane,471.0,3,F,Heavyweight,-15.240000000000009,-15.23999999999998,0.0,UFC 293: Adesanya vs. Strickland,Sydney,Australia
Pedro,Turkalj,1280.0,3,F,Light Heavyweight,-2.539999999999992,2.539999999999992,0.0,UFC 293: Adesanya vs. Strickland,Sydney,Australia
Ulberg,Woon Jung,323.0,3,F,Light Heavyweight,0.0,-2.539999999999992,0.0,UFC 293: Adesanya vs. Strickland,Sydney,Australia
Jenkins,Mariscal,1865.0,3,F,Featherweight,0.0,-2.539999999999992,0.0,UFC 293: Adesanya vs. Strickland,Sydney,Australia
Mullarkey,Makdessi,1573.0,3,F,Lightweight,10.159999999999997,15.240000000000009,0.0,UFC 293: Adesanya vs. Strickland,Sydney,Australia
Haqparast,Quinones,2650.0,3,F,Lightweight,2.5400000000000205,5.079999999999984,0.0,UFC 293: Adesanya vs. Strickland,Sydney,Australia
Diamond,Radtke,1127.0,3,F,Welterweight,5.0800000000000125,10.159999999999997,0.0,UFC 293: Adesanya vs. Strickland,Sydney,Australia
Young,Miranda,1672.0,3,F,Featherweight,-7.6200000000000045,2.539999999999992,0.0,UFC 293: Adesanya vs. Strickland,Sydney,Australia
Jousset,Crosbie,2319.0,3,F,Welterweight,7.6200000000000045,12.699999999999989,0.0,UFC 293: Adesanya vs. Strickland,Sydney,Australia
Gane,Spivac,2881.0,5,F,Heavyweight,2.539999999999992,7.6200000000000045,0.0,UFC Fight Night: Gane vs. Spivac,Paris,France
Fiorot,Namajunas,2983.0,3,F,Women's Flyweight,5.0800000000000125,0.0,0.0,UFC Fight Night: Gane vs. Spivac,Paris,France
Saint Denis,Moises,899.0,3,F,Lightweight,5.0800000000000125,7.619999999999976,0.0,UFC Fight Night: Gane vs. Spivac,Paris,France
Oezdemir,Guskov,1417.0,3,F,Light Heavyweight,-2.539999999999992,-2.539999999999992,0.0,UFC Fight Night: Gane vs. Spivac,Paris,France
Gomis,Ghemmouri,2794.0,3,F,Featherweight,7.6200000000000045,10.159999999999997,0.0,UFC Fight Night: Gane vs. Spivac,Paris,France
Charriere,Zecchini,3488.0,3,F,Featherweight,0.0,2.539999999999992,0.0,UFC Fight Night: Gane vs. Spivac,Paris,France
Lapilus,Loughran,2115.0,3,F,Bantamweight,0.0,12.699999999999989,0.0,UFC Fight Night: Gane vs. Spivac,Paris,France
Loosa,McKee,1986.0,3,F,Welterweight,-10.159999999999997,-10.159999999999997,0.0,UFC Fight Night: Gane vs. Spivac,Paris,France
Cornolle,Edwards,3395.0,3,F,Women's Bantamweight,-2.539999999999992,-7.6200000000000045,0.0,UFC Fight Night: Gane vs. Spivac,Paris,France
Basharat,Rodrigues,3837.0,3,F,Bantamweight,7.6200000000000045,10.159999999999997,0.0,UFC Fight Night: Gane vs. Spivac,Paris,France
Fairn,Cavalcanti,3505.0,3,F,Catch Weight,0.0,5.079999999999984,0.0,UFC Fight Night: Gane vs. Spivac,Paris,France
Holloway,Sung Jung,2532.0,5,F,Featherweight,10.159999999999997,-7.6200000000000045,0.0,UFC Fight Night: Holloway vs. The Korean Zombie,Kallang,Singapore
Smith,Spann,632.0,3,F,Light Heavyweight,-2.5400000000000205,-7.6200000000000045,0.0,UFC Fight Night: Holloway vs. The Korean Zombie,Kallang,Singapore
Chikadze,Caceres,3477.0,3,F,Featherweight,5.079999999999984,2.5400000000000205,0.0,UFC Fight Night: Holloway vs. The Korean Zombie,Kallang,Singapore
Nakamura,Garcia,1528.0,3,F,Bantamweight,0.0,2.539999999999992,0.0,UFC Fight Night: Holloway vs. The Korean Zombie,Kallang,Singapore
Blanchfield,Santos,3755.0,3,F,Women's Flyweight,-5.079999999999984,-5.0800000000000125,0.0,UFC Fight Night: Holloway vs. The Korean Zombie,Kallang,Singapore
Tafa,Porter,470.0,3,F,Heavyweight,7.6200000000000045,0.0,0.0,UFC Fight Night: Holloway vs. The Korean Zombie,Kallang,Singapore
Cortes-Acosta,Brzeski,3390.0,3,F,Heavyweight,0.0,0.0,0.0,UFC Fight Night: Holloway vs. The Korean Zombie,Kallang,Singapore
Kazama,Armfield,3941.0,3,F,Bantamweight,2.5400000000000205,-2.5400000000000205,0.0,UFC Fight Night: Holloway vs. The Korean Zombie,Kallang,Singapore
Njokuani,Oleksiejczuk,1403.0,3,F,Middleweight,7.6200000000000045,15.23999999999998,0.0,UFC Fight Night: Holloway vs. The Korean Zombie,Kallang,Singapore
Kenan,Bedoya,607.0,3,F,Welterweight,2.539999999999992,-7.6200000000000045,0.0,UFC Fight Night: Holloway vs. The Korean Zombie,Kallang,Singapore
Goff,Kinoshita,2811.0,3,F,Welterweight,-5.079999999999984,2.539999999999992,0.0,UFC Fight Night: Holloway vs. The Korean Zombie,Kallang,Singapore
Na,Aldrich,4049.0,3,F,Women's Flyweight,0.0,0.0,0.0,UFC Fight Night: Holloway vs. The Korean Zombie,Kallang,Singapore
